Order,Date,BCS,ULVR,Rf,Rm,SMB,HML,UMD
205,Dec-2000,15.174,576.348145,,,,,
204,Jan-2001,15.265091,573.459778,0.004468287,0.016128686,0.03780433,0.03916188,-0.05589112
203,Feb-2001,14.356179,574.571411,0.004384584,-0.05076606,0.02586574,0.03819804,0.13279682
202,Mar-2001,14.938417,564.013306,0.004183727,-0.050576195,-0.03687062,0.1047535,0.09962123
201,Apr-2001,15.330284,586.796082,0.004183727,0.060457055,-0.00103189,0.01649718,-0.02805002
200,May-2001,14.368428,606.584961,0.004033111,-0.018035381,0.04301921,0.0027151,0.07827115
199,Jun-2001,14.90279,677.249573,0.004100049,-0.028194891,-0.00561129,0.05436692,0.09768777
198,Jul-2001,14.142813,677.249573,0.004058212,-0.022737516,-0.03399317,0.03334584,0.00744433
197,Aug-2001,14.843416,664.812561,0.003138247,-0.023323699,0.05031554,0.04018429,0.07492208
196,Sep-2001,13.302165,565.31665,0.003489407,-0.094257292,-0.10956103,0.07436312,0.08094919
195,Oct-2001,14.773508,564.751282,0.003363979,0.032414259,0.0578379,0.01609105,-0.06684656
194,Nov-2001,14.821559,640.503845,0.003088092,0.043624761,0.05913965,0.04917253,-0.09342294
193,Dec-2001,16.160784,643.305481,0.003138247,0.00451014,0.01156102,-0.00669446,0.02871438
192,Jan-2002,15.420902,649.578918,0.003154966,-0.010445067,-0.00211076,-0.04974636,0.11057887
191,Feb-2002,14.497266,668.398743,0.003213486,-0.008067284,-0.01867002,-0.0257839,0.09456075
190,Mar-2002,15.162862,641.024597,0.003272008,0.041956295,0.01105282,0.02505855,0.00916763
189,Apr-2002,17.55279,716.304688,0.003255287,-0.015577397,0.05192905,0.00996785,0.06437925
188,May-2002,17.522074,716.304688,0.003414148,-0.012224664,0.01572975,0.03194981,0.05708126
187,Jun-2002,16.568552,692.758057,0.003221846,-0.084239123,-0.00865404,-0.00755327,0.0611067
186,Jul-2002,14.981001,651.633057,0.003272008,-0.092262464,-0.02920707,0.05916464,0.03151902
185,Aug-2002,14.204427,682.332214,0.003129888,0.003305451,-0.00991308,0.03528872,0.06384053
184,Sep-2002,11.874557,668.430786,0.003088092,-0.117591344,0.00487316,-0.03283896,0.09766731
183,Oct-2002,14.027667,731.566589,0.003096451,0.077884154,-0.06264102,0.04946824,0.00894487
182,Nov-2002,14.662109,663.217773,0.003138247,0.035412606,0.0182853,0.05398571,-0.11093252
181,Dec-2002,12.33915,690.353699,0.003146607,-0.0534202,-0.0051369,-0.00827031,0.07016455
